epoch,loss,lr,val_loss
0.0,0.0777902421304735,0.0001,0.11261107456886163
1.0,0.07303247815471585,0.0001,0.1058504096532272
2.0,0.07626803446624239,0.0001,0.10813899363501596
3.0,0.08918957252286921,0.0001,0.12328892946243285
4.0,0.07522129675762801,0.0001,0.10920682498964213
5.0,0.07940666015538791,0.0001,0.1223231554031372
6.0,0.07284325024502425,0.0001,0.10506570844326987
7.0,0.07530283591168074,0.0001,0.11773383819450768
8.0,0.06758178324349183,0.0001,0.11365891715227547
9.0,0.06719455678584213,0.0001,0.10328574705932099
10.0,0.07333034411662043,0.0001,0.1130321722919658
11.0,0.07229957338106835,0.0001,0.11195523051892296
12.0,0.07751838669265057,0.0001,0.13035888894129607
13.0,0.07492376114689024,0.0001,0.11796896336442332
14.0,0.07056728695745522,0.0001,0.1184279837850797
15.0,0.07531254675428746,0.0001,0.1216856099791446
16.0,0.07110475786661698,0.0001,0.11202824014728352
17.0,0.07808030729239944,0.0001,0.13359267731844368
18.0,0.10911849932482014,0.0001,0.10491605027247283
19.0,0.07921615865944469,0.0001,0.11211523363145733
20.0,0.07463565283575974,0.0001,0.10691789853370796
21.0,0.0693020955317438,0.0001,0.10139344607369374
22.0,0.06914931603070706,0.0001,0.10646691665811052
23.0,0.06645484596995985,0.0001,0.11138002145088326
24.0,0.06591033598797469,0.0001,0.10754765696444754
25.0,0.06624866239095137,0.0001,0.1138863472615258
26.0,0.0667125680352335,0.0001,0.11660156209590072
27.0,0.07026307663675081,0.0001,0.1170125280396413
28.0,0.0803657510859818,0.0001,0.10946590617551642
29.0,0.09231793072264073,0.0001,0.13431485628677628
30.0,0.07821425711367762,0.0001,0.11875845719191988
31.0,0.06876003977942602,0.0001,0.11892441167669783
32.0,0.0663274317811438,0.0001,0.1296172768382703
33.0,0.06646131627303732,0.0001,0.11542206800590127
34.0,0.06715879905021797,0.0001,0.11810405678668265
35.0,0.06428677887566346,0.0001,0.11827969652111248
36.0,0.0672443525939338,0.0001,0.11420707480382113
37.0,0.06441526662158427,0.0001,0.11691293777045556
38.0,0.06526394685109456,0.0001,0.110353200112359
39.0,0.06568171546957588,0.0001,0.10887010824882376
40.0,0.06594541450004793,0.0001,0.11418784775976408
41.0,0.060716850609429135,0.0001,0.12134694446951655
42.0,0.09349100906296637,0.0001,0.12826769533803908
43.0,0.07432323997303593,5e-05,0.11171031301304446
44.0,0.07041586388302389,5e-05,0.11701425354359515
45.0,0.06423384220586659,5e-05,0.11288454168933933
46.0,0.06254050186124899,5e-05,0.11975863626447775
47.0,0.05702506822381316,5e-05,0.11807222689612434
48.0,0.06786413819102917,5e-05,0.11682124158083383
49.0,0.056299153357575835,5e-05,0.11599429482120578
50.0,0.06768483361281917,5e-05,0.11801757145736178
51.0,0.06612892541508217,5e-05,0.12230116937120082
52.0,0.062232582245842875,5e-05,0.11626188330731148
53.0,0.06044367780793185,5e-05,0.11564997091131694
54.0,0.05543188153013672,5e-05,0.11740047345727175
55.0,0.06452210474822481,0.0001,0.12485021049693479
56.0,0.06640687837439069,0.0001,0.11733017432487618
57.0,0.06916116220129412,0.0001,0.11609640464944354
58.0,0.07705171128450813,0.0001,0.13010107460668532
59.0,0.06735879149140611,0.0001,0.12665636660689014
60.0,0.06440995540996056,0.0001,0.12051183995554003
61.0,0.06616410427847824,0.0001,0.11866681050446073
62.0,0.06414327917799438,0.0001,0.12545459048222687
63.0,0.06511603472596508,0.0001,0.12011614492384054
64.0,0.07274306123539553,0.0001,0.10997999219571129
65.0,0.06296223570398018,0.0001,0.11107050160230217
66.0,0.05873725609590778,0.0001,0.11716446533041486
67.0,0.05968983732374374,0.0001,0.11312584856809196
68.0,0.06219584322245107,0.0001,0.11428527306702177
69.0,0.06865007291405888,0.0001,0.12711982504796174
70.0,0.06103188944401714,0.0001,0.12477842326891625
